                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5226,                 2.1578,                 1.2577,                 0.1967,                 0.2889,                0.17748,                0.09407,                 1.6262,                 1.8564,                 1.4166,               0.070069,              0.0033257,              0.0033257
                      1,                 1.5097,                 1.5586,                 1.2262,                0.34734,                0.24396,                0.23593,                0.14474,                 1.5893,                 1.7962,                 1.3863,               0.040047,               0.006637,               0.006637
                      2,                 1.5599,                   1.56,                 1.2574,                0.33975,                0.31574,                0.22091,                0.11688,                  1.728,                 1.8268,                 1.4594,               0.010003,              0.0099264,              0.0099264
                      3,                 1.6077,                 1.5736,                  1.287,                0.25128,                 0.2113,                0.16725,                0.08804,                   1.74,                 1.8943,                 1.4873,               0.009901,               0.009901,               0.009901
                      4,                 1.5659,                 1.4581,                 1.2644,                0.52943,                0.24863,                 0.2645,                0.15623,                 1.6457,                 1.7056,                 1.4328,               0.009901,               0.009901,               0.009901
                      5,                 1.5327,                 1.3798,                 1.2554,                0.48533,                0.32526,                  0.314,                0.18608,                 1.6015,                 1.5419,                 1.3957,               0.009868,               0.009868,               0.009868
                      6,                 1.5125,                 1.3275,                 1.2388,                0.43762,                0.40238,                0.34329,                0.20311,                 1.5692,                 1.4841,                 1.3552,               0.009835,               0.009835,               0.009835
                      7,                  1.479,                 1.2667,                 1.2229,                0.42752,                0.39957,                 0.3605,                 0.2182,                 1.5637,                 1.4116,                 1.3706,               0.009802,               0.009802,               0.009802
                      8,                 1.4647,                 1.2315,                 1.2149,                0.57151,                 0.3944,                0.40545,                0.24083,                 1.5525,                   1.43,                 1.3693,               0.009769,               0.009769,               0.009769
                      9,                 1.4448,                 1.1976,                 1.2074,                0.49313,                0.40811,                0.37908,                0.23105,                 1.5359,                  1.379,                 1.3572,               0.009736,               0.009736,               0.009736
                     10,                  1.436,                 1.1665,                  1.202,                0.43497,                0.43891,                0.37518,                0.23455,                 1.5238,                 1.3954,                 1.3461,               0.009703,               0.009703,               0.009703
                     11,                 1.4259,                 1.1425,                 1.1912,                0.56393,                0.44144,                 0.4235,                0.27613,                 1.5232,                 1.3185,                  1.341,                0.00967,                0.00967,                0.00967
                     12,                 1.4169,                 1.1206,                  1.189,                0.57651,                0.43323,                 0.4633,                0.29042,                 1.4896,                 1.2835,                 1.3088,               0.009637,               0.009637,               0.009637
                     13,                 1.4049,                 1.1073,                 1.1795,                0.56451,                 0.4333,                0.43205,                0.27248,                 1.4775,                 1.2898,                 1.3069,               0.009604,               0.009604,               0.009604
                     14,                 1.3968,                 1.0853,                 1.1748,                0.57016,                0.44957,                0.43853,                0.27886,                 1.5041,                 1.2873,                 1.3232,               0.009571,               0.009571,               0.009571
                     15,                 1.3862,                 1.0692,                 1.1702,                0.60216,                0.42917,                0.45595,                0.29002,                 1.4988,                 1.3065,                 1.3139,               0.009538,               0.009538,               0.009538
                     16,                 1.3809,                 1.0594,                 1.1703,                0.63024,                0.46937,                0.47128,                0.29603,                 1.4892,                  1.235,                 1.2908,               0.009505,               0.009505,               0.009505
                     17,                 1.3685,                 1.0291,                 1.1582,                0.60975,                0.46726,                0.48971,                0.31156,                 1.4446,                 1.2264,                  1.289,               0.009472,               0.009472,               0.009472
                     18,                 1.3661,                 1.0243,                 1.1663,                0.61181,                0.46147,                0.49736,                0.31506,                   1.45,                 1.2475,                 1.2929,               0.009439,               0.009439,               0.009439
                     19,                 1.3598,                 1.0118,                 1.1551,                0.60212,                0.43794,                0.46957,                0.30383,                 1.5101,                 1.2347,                 1.3184,               0.009406,               0.009406,               0.009406
                     20,                 1.3393,                0.99084,                 1.1481,                0.57629,                0.47288,                0.48893,                0.31543,                 1.4434,                 1.2235,                 1.2923,               0.009373,               0.009373,               0.009373
                     21,                 1.3469,                0.99075,                 1.1478,                0.59064,                0.49748,                0.48731,                0.31049,                 1.4648,                 1.1967,                 1.2909,                0.00934,                0.00934,                0.00934
                     22,                 1.3358,                0.97309,                 1.1416,                0.68966,                0.47584,                0.50578,                 0.3217,                 1.4535,                 1.1804,                 1.2714,               0.009307,               0.009307,               0.009307
                     23,                  1.332,                0.96337,                   1.14,                0.67264,                 0.4644,                0.49896,                0.32185,                 1.4559,                  1.191,                 1.2919,               0.009274,               0.009274,               0.009274
                     24,                 1.3275,                0.96122,                 1.1443,                0.62518,                0.52975,                0.52787,                0.34971,                 1.4443,                 1.1776,                 1.2803,               0.009241,               0.009241,               0.009241
                     25,                 1.3235,                0.95088,                 1.1353,                0.71748,                0.49175,                0.53389,                0.34086,                 1.4387,                 1.1503,                 1.2776,               0.009208,               0.009208,               0.009208
                     26,                 1.3147,                 0.9485,                 1.1329,                0.66569,                0.52017,                0.54102,                0.35943,                 1.4313,                 1.1511,                 1.2721,               0.009175,               0.009175,               0.009175
                     27,                 1.3172,                0.93309,                 1.1281,                0.62273,                0.52899,                0.53105,                0.34885,                 1.4262,                 1.1494,                 1.2719,               0.009142,               0.009142,               0.009142
                     28,                 1.3101,                0.92191,                 1.1314,                0.64685,                0.49559,                0.52811,                  0.356,                 1.4228,                 1.1629,                 1.2658,               0.009109,               0.009109,               0.009109
                     29,                  1.303,                0.92753,                 1.1286,                0.64634,                0.50727,                0.51921,                0.36054,                 1.4348,                 1.1693,                 1.2821,               0.009076,               0.009076,               0.009076
                     30,                 1.3021,                0.92153,                 1.1252,                0.65651,                0.49614,                0.52928,                0.35931,                 1.4172,                 1.1252,                 1.2621,               0.009043,               0.009043,               0.009043
                     31,                 1.2947,                0.91281,                 1.1225,                0.66997,                0.50434,                0.53165,                0.36743,                 1.4452,                 1.1706,                  1.279,                0.00901,                0.00901,                0.00901
                     32,                 1.2931,                0.90483,                 1.1208,                0.70535,                0.51221,                0.54241,                0.36913,                 1.4131,                 1.1339,                 1.2618,               0.008977,               0.008977,               0.008977
                     33,                 1.2944,                0.90725,                 1.1241,                0.69604,                0.48218,                0.53674,                0.37118,                 1.4022,                 1.1074,                 1.2511,               0.008944,               0.008944,               0.008944
                     34,                 1.2808,                0.88692,                 1.1149,                0.69939,                0.52153,                0.55507,                0.37703,                 1.4142,                 1.1143,                 1.2631,               0.008911,               0.008911,               0.008911
                     35,                 1.2747,                0.88785,                  1.113,                0.69359,                0.51844,                0.54877,                0.37563,                 1.4031,                 1.1291,                 1.2516,               0.008878,               0.008878,               0.008878
                     36,                 1.2771,                0.88677,                 1.1158,                0.68269,                0.50969,                0.54274,                0.37707,                 1.4151,                 1.1323,                 1.2549,               0.008845,               0.008845,               0.008845
                     37,                 1.2736,                0.87892,                 1.1135,                0.75653,                0.48396,                0.55964,                0.38557,                 1.4252,                 1.1097,                 1.2661,               0.008812,               0.008812,               0.008812
                     38,                 1.2687,                0.87343,                 1.1113,                 0.6619,                0.51329,                0.54761,                0.37581,                  1.422,                 1.1072,                 1.2624,               0.008779,               0.008779,               0.008779
                     39,                 1.2673,                0.86998,                 1.1099,                0.68126,                0.52568,                0.54809,                0.38215,                 1.3944,                 1.1006,                 1.2537,               0.008746,               0.008746,               0.008746
                     40,                 1.2674,                0.87235,                  1.111,                 0.7469,                0.50968,                0.56501,                0.38925,                 1.4015,                 1.1028,                 1.2484,               0.008713,               0.008713,               0.008713
                     41,                 1.2629,                0.86403,                 1.1062,                0.72372,                0.51727,                0.56167,                0.39239,                 1.4025,                 1.1014,                 1.2541,                0.00868,                0.00868,                0.00868
                     42,                 1.2612,                0.86523,                 1.1034,                0.71271,                0.51287,                0.55812,                0.38309,                 1.4039,                 1.0887,                 1.2543,               0.008647,               0.008647,               0.008647
                     43,                 1.2665,                 0.8669,                 1.1092,                0.73645,                0.52444,                0.56484,                0.39078,                  1.397,                 1.0887,                 1.2562,               0.008614,               0.008614,               0.008614
                     44,                 1.2581,                0.85681,                 1.1075,                0.75739,                0.51719,                0.56242,                0.40165,                 1.3896,                 1.0767,                 1.2467,               0.008581,               0.008581,               0.008581
                     45,                  1.252,                 0.8501,                 1.0989,                0.70151,                0.52102,                0.55739,                0.39847,                 1.3845,                 1.0863,                 1.2448,               0.008548,               0.008548,               0.008548
                     46,                 1.2474,                0.84476,                 1.0993,                0.73877,                0.52352,                0.55701,                0.39642,                 1.3895,                 1.0853,                 1.2426,               0.008515,               0.008515,               0.008515
                     47,                 1.2546,                0.84795,                 1.1001,                0.68595,                0.52807,                 0.5619,                0.40099,                 1.3832,                 1.0807,                  1.237,               0.008482,               0.008482,               0.008482
                     48,                  1.248,                0.84106,                 1.0967,                0.71756,                0.52722,                  0.562,                0.40256,                 1.3814,                 1.0825,                 1.2379,               0.008449,               0.008449,               0.008449
                     49,                 1.2467,                0.84035,                 1.0958,                0.73527,                0.52659,                0.55849,                0.39673,                 1.3844,                 1.0974,                 1.2407,               0.008416,               0.008416,               0.008416
                     50,                 1.2429,                0.83179,                 1.0942,                0.69499,                0.52989,                0.56903,                0.40296,                 1.3795,                 1.1005,                 1.2347,               0.008383,               0.008383,               0.008383
                     51,                 1.2318,                0.83106,                 1.0924,                0.70351,                0.53837,                0.56824,                 0.3992,                  1.378,                 1.0775,                 1.2393,                0.00835,                0.00835,                0.00835
                     52,                 1.2425,                0.83917,                 1.0959,                0.71325,                 0.5383,                0.56965,                 0.4069,                 1.3801,                 1.0727,                 1.2401,               0.008317,               0.008317,               0.008317
                     53,                 1.2364,                0.83003,                 1.0989,                0.71961,                 0.5242,                0.56858,                0.40679,                 1.3809,                 1.0762,                 1.2393,               0.008284,               0.008284,               0.008284
                     54,                  1.237,                0.82558,                 1.0914,                0.70307,                0.52431,                0.56147,                0.39857,                 1.3819,                 1.0836,                 1.2375,               0.008251,               0.008251,               0.008251
                     55,                 1.2395,                0.83075,                 1.0927,                0.71054,                0.52658,                0.55652,                0.39457,                 1.3857,                 1.0834,                 1.2384,               0.008218,               0.008218,               0.008218
                     56,                 1.2263,                 0.8186,                 1.0891,                0.71353,                0.53304,                0.56097,                 0.3981,                 1.3843,                 1.0718,                 1.2398,               0.008185,               0.008185,               0.008185
                     57,                 1.2255,                0.81745,                 1.0863,                0.70694,                0.51757,                 0.5649,                 0.4007,                 1.3813,                 1.0618,                 1.2383,               0.008152,               0.008152,               0.008152
                     58,                 1.2278,                0.81624,                 1.0895,                0.73146,                0.49227,                0.55928,                0.39631,                 1.3845,                 1.0702,                 1.2412,               0.008119,               0.008119,               0.008119
                     59,                 1.2233,                0.81431,                 1.0872,                0.72588,                0.49503,                0.55854,                0.39653,                  1.386,                 1.0722,                 1.2421,               0.008086,               0.008086,               0.008086
                     60,                 1.2258,                0.80692,                  1.085,                0.72915,                0.50192,                0.55642,                0.39127,                 1.3862,                 1.0776,                 1.2422,               0.008053,               0.008053,               0.008053
                     61,                 1.2238,                0.79977,                 1.0887,                0.73627,                0.48949,                0.55638,                0.38931,                 1.3853,                 1.0793,                 1.2423,                0.00802,                0.00802,                0.00802
                     62,                 1.2174,                 0.8034,                 1.0819,                 0.7034,                0.50232,                0.56149,                0.39452,                 1.3822,                 1.0726,                 1.2412,               0.007987,               0.007987,               0.007987
                     63,                 1.2114,                0.79911,                 1.0801,                0.69901,                 0.5226,                0.56323,                0.39504,                 1.3827,                 1.0696,                 1.2426,               0.007954,               0.007954,               0.007954
                     64,                 1.2182,                0.80693,                  1.084,                0.69128,                0.52428,                 0.5667,                 0.3995,                 1.3815,                 1.0688,                 1.2428,               0.007921,               0.007921,               0.007921
                     65,                 1.2147,                0.79908,                 1.0804,                0.69022,                0.52955,                0.56648,                 0.3989,                 1.3799,                 1.0681,                 1.2421,               0.007888,               0.007888,               0.007888
                     66,                 1.2152,                0.80175,                 1.0849,                0.69492,                0.52376,                0.56536,                0.39839,                 1.3795,                  1.069,                  1.242,               0.007855,               0.007855,               0.007855
                     67,                 1.2078,                0.79046,                 1.0764,                0.68764,                0.52921,                0.56457,                0.40053,                 1.3784,                 1.0703,                 1.2409,               0.007822,               0.007822,               0.007822
                     68,                 1.2043,                0.78643,                 1.0745,                0.68803,                0.52749,                  0.566,                0.40101,                 1.3771,                 1.0708,                 1.2401,               0.007789,               0.007789,               0.007789
                     69,                 1.2089,                0.79739,                 1.0815,                 0.6844,                0.53255,                 0.5652,                0.40069,                 1.3768,                 1.0709,                 1.2406,               0.007756,               0.007756,               0.007756
                     70,                  1.208,                0.78761,                 1.0786,                0.72207,                0.50952,                 0.5666,                0.40044,                  1.375,                 1.0679,                 1.2391,               0.007723,               0.007723,               0.007723
                     71,                 1.1983,                0.78549,                 1.0759,                0.71518,                0.50834,                 0.5675,                0.40226,                 1.3766,                 1.0683,                 1.2399,                0.00769,                0.00769,                0.00769
                     72,                 1.1989,                0.78372,                 1.0727,                0.71407,                0.51721,                0.56891,                0.40232,                 1.3768,                 1.0643,                 1.2407,               0.007657,               0.007657,               0.007657
                     73,                 1.1989,                0.78181,                 1.0749,                0.72666,                0.50962,                0.56794,                 0.4016,                 1.3778,                 1.0643,                 1.2408,               0.007624,               0.007624,               0.007624
                     74,                 1.1877,                0.78012,                 1.0721,                0.72353,                 0.5099,                0.56549,                0.40009,                 1.3782,                 1.0667,                 1.2407,               0.007591,               0.007591,               0.007591
                     75,                 1.1988,                0.77996,                 1.0701,                0.71705,                0.51226,                0.56514,                0.40013,                 1.3772,                 1.0681,                 1.2402,               0.007558,               0.007558,               0.007558
                     76,                  1.191,                0.77662,                  1.077,                0.72297,                0.51485,                0.56584,                0.40059,                 1.3785,                 1.0697,                 1.2409,               0.007525,               0.007525,               0.007525
                     77,                 1.1944,                0.77611,                 1.0729,                0.72028,                0.51421,                0.56557,                0.39812,                 1.3787,                 1.0722,                 1.2411,               0.007492,               0.007492,               0.007492
                     78,                 1.1825,                0.76668,                 1.0663,                0.72453,                0.51312,                0.56778,                0.40097,                 1.3772,                 1.0731,                 1.2404,               0.007459,               0.007459,               0.007459
                     79,                 1.1912,                0.77875,                 1.0705,                0.73152,                0.51201,                0.56877,                0.40175,                 1.3767,                 1.0726,                 1.2409,               0.007426,               0.007426,               0.007426
                     80,                 1.1816,                0.76398,                 1.0666,                0.72989,                0.51228,                0.56944,                0.40315,                 1.3761,                 1.0726,                 1.2399,               0.007393,               0.007393,               0.007393
                     81,                 1.1875,                0.76574,                 1.0711,                0.72857,                0.51298,                0.56949,                0.40408,                 1.3757,                 1.0719,                 1.2396,                0.00736,                0.00736,                0.00736
                     82,                 1.1826,                0.76673,                 1.0652,                0.73316,                0.51284,                0.56802,                0.40239,                 1.3747,                 1.0701,                 1.2396,               0.007327,               0.007327,               0.007327
                     83,                 1.1813,                0.76529,                  1.066,                0.73134,                0.51313,                0.56864,                0.40351,                 1.3753,                 1.0696,                 1.2402,               0.007294,               0.007294,               0.007294
                     84,                  1.184,                0.76588,                  1.071,                0.72895,                0.51312,                0.56778,                0.40198,                 1.3756,                 1.0696,                 1.2403,               0.007261,               0.007261,               0.007261
                     85,                 1.1805,                0.75685,                 1.0672,                0.72562,                0.51426,                 0.5677,                0.40206,                 1.3766,                 1.0708,                 1.2411,               0.007228,               0.007228,               0.007228
                     86,                 1.1714,                0.75518,                 1.0618,                0.72589,                0.51045,                0.56664,                0.40254,                 1.3771,                 1.0724,                 1.2417,               0.007195,               0.007195,               0.007195
                     87,                 1.1769,                0.75739,                 1.0652,                0.72751,                0.51045,                0.56688,                0.40299,                 1.3765,                 1.0719,                 1.2407,               0.007162,               0.007162,               0.007162
                     88,                 1.1722,                0.75453,                 1.0602,                0.73944,                0.50504,                0.56805,                0.40377,                  1.376,                 1.0721,                 1.2407,               0.007129,               0.007129,               0.007129
                     89,                 1.1787,                0.75423,                 1.0656,                0.73645,                0.50582,                0.56636,                0.40387,                 1.3758,                 1.0723,                 1.2403,               0.007096,               0.007096,               0.007096
                     90,                 1.1654,                0.75151,                 1.0618,                0.73968,                0.50953,                0.56626,                0.40458,                 1.3748,                 1.0721,                 1.2397,               0.007063,               0.007063,               0.007063
                     91,                 1.1695,                0.75201,                  1.061,                0.73868,                0.50935,                0.56697,                0.40523,                 1.3746,                 1.0715,                 1.2395,                0.00703,                0.00703,                0.00703
                     92,                  1.166,                0.75023,                 1.0619,                0.70946,                  0.524,                0.56781,                0.40514,                  1.375,                 1.0726,                 1.2402,               0.006997,               0.006997,               0.006997
                     93,                 1.1759,                0.75294,                 1.0633,                0.73987,                0.51662,                0.56846,                0.40587,                 1.3751,                 1.0727,                 1.2405,               0.006964,               0.006964,               0.006964
                     94,                 1.1697,                0.74709,                 1.0635,                0.72196,                0.52514,                0.56879,                0.40613,                 1.3742,                 1.0731,                 1.2402,               0.006931,               0.006931,               0.006931
                     95,                 1.1626,                0.74321,                 1.0602,                0.72029,                0.52649,                0.56873,                0.40565,                 1.3737,                 1.0725,                   1.24,               0.006898,               0.006898,               0.006898
                     96,                 1.1631,                0.74451,                 1.0551,                0.72186,                 0.5268,                0.56915,                 0.4062,                 1.3731,                 1.0712,                 1.2391,               0.006865,               0.006865,               0.006865
                     97,                 1.1622,                0.74063,                 1.0565,                 0.7197,                0.52749,                0.56756,                 0.4052,                 1.3721,                 1.0714,                 1.2387,               0.006832,               0.006832,               0.006832
                     98,                 1.1586,                0.74043,                 1.0557,                0.71946,                0.52655,                0.56609,                0.40379,                 1.3722,                 1.0721,                 1.2386,               0.006799,               0.006799,               0.006799
                     99,                 1.1617,                0.74113,                 1.0539,                0.71299,                0.52881,                0.56627,                0.40395,                 1.3719,                 1.0724,                 1.2386,               0.006766,               0.006766,               0.006766
                    100,                 1.1571,                0.74033,                 1.0554,                0.70483,                0.53145,                0.56713,                 0.4036,                 1.3721,                 1.0736,                 1.2387,               0.006733,               0.006733,               0.006733
                    101,                  1.158,                0.73833,                 1.0556,                0.76162,                0.51241,                0.56861,                0.40499,                 1.3714,                 1.0736,                 1.2381,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.1604,                0.73773,                  1.055,                0.76442,                0.51281,                0.56857,                0.40486,                 1.3709,                 1.0742,                 1.2378,               0.006667,               0.006667,               0.006667
