                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5428,                 3.7315,                 3.4394,                0.42347,                0.09281,                0.04052,                0.01403,                 2.7357,                 2.9867,                 2.9201,               0.070066,               0.003326,               0.003326
                      1,                 2.3478,                 2.4997,                 2.1989,                0.37457,                0.11781,                0.08868,                0.04298,                 2.1205,                 2.7689,                 2.1882,               0.040044,              0.0066374,              0.0066374
                      2,                 2.0072,                 2.1707,                 1.8607,                0.16597,                0.12973,                0.10032,                0.04472,                 2.0723,                 2.4684,                 2.1018,              0.0099998,              0.0099267,              0.0099267
                      3,                 1.8566,                 1.9824,                 1.7192,                0.18432,                0.17759,                0.14349,                0.07205,                 1.8145,                 2.2494,                 1.8337,               0.009901,               0.009901,               0.009901
                      4,                 1.7726,                 1.8352,                 1.6338,                0.16807,                0.20709,                0.16293,                0.08297,                 1.7583,                 1.8103,                 1.7679,               0.009901,               0.009901,               0.009901
                      5,                 1.7038,                 1.7245,                 1.5877,                0.31477,                0.20783,                0.20891,                0.10253,                 1.7355,                 1.7339,                  1.752,               0.009868,               0.009868,               0.009868
                      6,                  1.667,                 1.6508,                 1.5605,                0.22656,                0.24498,                0.19784,                0.10276,                 1.7146,                 1.6445,                 1.7192,               0.009835,               0.009835,               0.009835
                      7,                 1.6424,                 1.5926,                 1.5287,                0.25891,                0.27674,                0.23602,                0.12838,                 1.6296,                 1.5878,                 1.6356,               0.009802,               0.009802,               0.009802
                      8,                 1.6163,                 1.5376,                  1.507,                0.46725,                0.27331,                0.26455,                0.14179,                 1.6341,                 1.5235,                 1.6374,               0.009769,               0.009769,               0.009769
                      9,                 1.5947,                 1.4865,                 1.4931,                 0.6895,                0.27229,                0.28405,                0.16026,                 1.5945,                 1.4896,                 1.6151,               0.009736,               0.009736,               0.009736
                     10,                 1.5765,                 1.4566,                 1.4796,                0.69119,                0.29609,                0.36371,                0.21525,                 1.5774,                 1.4346,                 1.6017,               0.009703,               0.009703,               0.009703
                     11,                 1.5576,                 1.4152,                 1.4655,                0.49098,                0.33586,                0.34155,                0.20637,                 1.5609,                 1.4149,                 1.5809,                0.00967,                0.00967,                0.00967
                     12,                 1.5414,                 1.3813,                 1.4544,                0.48411,                0.39517,                0.38051,                 0.2361,                 1.5138,                 1.3595,                 1.5481,               0.009637,               0.009637,               0.009637
                     13,                 1.5306,                 1.3564,                 1.4412,                0.65838,                0.39685,                0.42359,                0.25977,                 1.5198,                 1.3287,                 1.5428,               0.009604,               0.009604,               0.009604
                     14,                 1.5187,                 1.3368,                 1.4293,                0.55912,                0.38459,                0.40137,                 0.2576,                 1.4904,                 1.3081,                 1.5215,               0.009571,               0.009571,               0.009571
                     15,                  1.507,                 1.3154,                 1.4268,                0.49064,                0.43268,                 0.4116,                0.26959,                 1.4942,                 1.2998,                 1.5225,               0.009538,               0.009538,               0.009538
                     16,                 1.4938,                 1.2895,                 1.4094,                0.58131,                0.41916,                0.44379,                0.27807,                 1.4959,                 1.2924,                 1.5277,               0.009505,               0.009505,               0.009505
                     17,                 1.4906,                  1.277,                 1.4108,                0.60286,                0.41662,                0.46134,                0.28317,                 1.4708,                 1.2547,                 1.5066,               0.009472,               0.009472,               0.009472
                     18,                 1.4742,                 1.2595,                 1.3996,                0.62352,                 0.4481,                0.48598,                0.30371,                 1.4817,                  1.226,                 1.5085,               0.009439,               0.009439,               0.009439
                     19,                  1.472,                 1.2374,                  1.395,                0.58554,                 0.4974,                0.46713,                0.29968,                 1.4376,                 1.2213,                 1.4676,               0.009406,               0.009406,               0.009406
                     20,                 1.4574,                 1.2133,                  1.382,                0.67432,                0.43514,                0.46886,                0.30567,                  1.428,                 1.2025,                  1.464,               0.009373,               0.009373,               0.009373
